DCorr,MGC,n,dataset
0.227,0.227,40,nonlinear
0.114,0.003,40,nonlinear
0.797,0.796,40,nonlinear
0.038,0.016,40,nonlinear
0.056,0.014,40,nonlinear
0.774,0.778,40,nonlinear
0.546,0.56,40,nonlinear
0.16,0.152,40,nonlinear
0.011,0.009,40,nonlinear
0.173,0.167,40,nonlinear
0.495,0.49,40,nonlinear
0.724,0.706,40,nonlinear
0.286,0.273,40,nonlinear
0.657,0.664,40,nonlinear
0.963,0.961,40,nonlinear
0.07,0.076,40,nonlinear
0.286,0.271,40,nonlinear
0.209,0.24,40,nonlinear
0.098,0.105,40,nonlinear
0.806,0.831,40,nonlinear
0.131,0.135,40,nonlinear
0.167,0.163,40,nonlinear
0.329,0.339,40,nonlinear
0.217,0.209,40,nonlinear
0.017,0.001,40,nonlinear
0.092,0.015,40,nonlinear
0.23,0.279,40,nonlinear
0.328,0.333,40,nonlinear
0.218,0.201,40,nonlinear
0.5,0.498,40,nonlinear
0.644,0.66,40,nonlinear
0.947,0.957,40,nonlinear
0.344,0.354,40,nonlinear
0.545,0.524,40,nonlinear
0.618,0.642,40,nonlinear
0.928,0.929,40,nonlinear
0.105,0.106,40,nonlinear
0.369,0.348,40,nonlinear
0.98,0.982,40,nonlinear
0.388,0.398,40,nonlinear
0.25,0.245,40,nonlinear
0.407,0.412,40,nonlinear
0.577,0.608,40,nonlinear
0.669,0.681,40,nonlinear
0.248,0.222,40,nonlinear
0.391,0.434,40,nonlinear
0.354,0.36,40,nonlinear
0.487,0.5,40,nonlinear
0.089,0.1,40,nonlinear
0.932,0.93,40,nonlinear
0.057,0.01,40,nonlinear
0.664,0.646,40,nonlinear
0.095,0.072,40,nonlinear
0.246,0.234,40,nonlinear
0.167,0.132,40,nonlinear
0.2,0.159,40,nonlinear
0.344,0.318,40,nonlinear
0.309,0.312,40,nonlinear
0.011,0.021,40,nonlinear
0.201,0.217,40,nonlinear
0.613,0.604,40,nonlinear
0.494,0.532,40,nonlinear
0.987,0.99,40,nonlinear
0.02,0.016,40,nonlinear
0.847,0.862,40,nonlinear
0.254,0.249,40,nonlinear
0.124,0.118,40,nonlinear
0.289,0.291,40,nonlinear
0.309,0.314,40,nonlinear
0.831,0.819,40,nonlinear
0.289,0.306,40,nonlinear
0.274,0.255,40,nonlinear
0.062,0.014,40,nonlinear
0.422,0.427,40,nonlinear
0.054,0.068,40,nonlinear
0.102,0.132,40,nonlinear
0.104,0.122,40,nonlinear
0.445,0.405,40,nonlinear
0.262,0.281,40,nonlinear
0.062,0.068,40,nonlinear
0.178,0.185,40,nonlinear
0.639,0.636,40,nonlinear
0.206,0.186,40,nonlinear
0.689,0.702,40,nonlinear
0.923,0.928,40,nonlinear
0.015,0.017,40,nonlinear
0.468,0.427,40,nonlinear
0.289,0.308,40,nonlinear
0.07,0.016,40,nonlinear
0.427,0.404,40,nonlinear
0.434,0.416,40,nonlinear
0.13,0.136,40,nonlinear
0.331,0.339,40,nonlinear
0.961,0.962,40,nonlinear
0.409,0.403,40,nonlinear
0.393,0.392,40,nonlinear
0.301,0.283,40,nonlinear
0.138,0.131,40,nonlinear
0.215,0.183,40,nonlinear
0.33,0.342,40,nonlinear
0.107,0.015,40,nonlinear
0.383,0.388,40,nonlinear
0.148,0.158,40,nonlinear
0.577,0.59,40,nonlinear
0.311,0.331,40,nonlinear
0.439,0.463,40,nonlinear
0.311,0.317,40,nonlinear
0.757,0.711,40,nonlinear
0.269,0.249,40,nonlinear
0.23,0.234,40,nonlinear
0.587,0.579,40,nonlinear
0.193,0.192,40,nonlinear
0.451,0.471,40,nonlinear
0.488,0.459,40,nonlinear
0.394,0.41,40,nonlinear
0.077,0.082,40,nonlinear
0.084,0.091,40,nonlinear
0.007,0.009,40,nonlinear
0.615,0.601,40,nonlinear
0.986,0.992,40,nonlinear
0.605,0.592,40,nonlinear
0.03,0.054,40,nonlinear
0.427,0.413,40,nonlinear
0.886,0.91,40,nonlinear
0.146,0.148,40,nonlinear
0.332,0.315,40,nonlinear
0.368,0.368,40,nonlinear
0.167,0.179,40,nonlinear
0.899,0.902,40,nonlinear
0.903,0.883,40,nonlinear
0.162,0.159,40,nonlinear
0.335,0.339,40,nonlinear
0.51,0.519,40,nonlinear
0.965,0.967,40,nonlinear
0.02,0.005,40,nonlinear
0.624,0.624,40,nonlinear
0.205,0.213,40,nonlinear
0.077,0.077,40,nonlinear
0.11,0.016,40,nonlinear
0.102,0.104,40,nonlinear
0.528,0.496,40,nonlinear
0.014,0.001,40,nonlinear
0.934,0.907,40,nonlinear
0.435,0.42,40,nonlinear
0.013,0.006,40,nonlinear
0.313,0.304,40,nonlinear
0.083,0.011,40,nonlinear
0.057,0.012,40,nonlinear
0.169,0.152,40,nonlinear
0.372,0.365,40,nonlinear
0.375,0.39,40,nonlinear
0.195,0.188,40,nonlinear
0.508,0.499,40,nonlinear
0.574,0.571,40,nonlinear
0.485,0.485,40,nonlinear
0.872,0.9,40,nonlinear
0.197,0.208,40,nonlinear
0.082,0.017,40,nonlinear
0.319,0.305,40,nonlinear
0.379,0.404,40,nonlinear
0.023,0.051,40,nonlinear
0.767,0.782,40,nonlinear
0.076,0.086,40,nonlinear
0.707,0.714,40,nonlinear
0.379,0.365,40,nonlinear
0.292,0.306,40,nonlinear
0.052,0.013,40,nonlinear
0.156,0.14,40,nonlinear
0.874,0.866,40,nonlinear
0.75,0.757,40,nonlinear
0.349,0.36,40,nonlinear
0.073,0.062,40,nonlinear
0.252,0.221,40,nonlinear
0.019,0.007,40,nonlinear
0.541,0.566,40,nonlinear
0.546,0.516,40,nonlinear
0.085,0.02,40,nonlinear
0.794,0.808,40,nonlinear
0.857,0.836,40,nonlinear
0.068,0.008,40,nonlinear
0.547,0.582,40,nonlinear
0.764,0.766,40,nonlinear
0.303,0.309,40,nonlinear
0.006,0.006,40,nonlinear
0.753,0.752,40,nonlinear
0.262,0.227,40,nonlinear
0.243,0.239,40,nonlinear
0.559,0.573,40,nonlinear
0.197,0.21,40,nonlinear
0.263,0.267,40,nonlinear
0.08,0.033,40,nonlinear
0.811,0.811,40,nonlinear
0.494,0.46,40,nonlinear
0.982,0.989,40,nonlinear
0.313,0.025,40,nonlinear
0.282,0.309,40,nonlinear
0.627,0.656,40,nonlinear
0.038,0.032,40,nonlinear
0.038,0.047,40,nonlinear
0.985,0.979,50,equal
0.361,0.358,50,equal
0.619,0.608,50,equal
0.836,0.832,50,equal
0.701,0.733,50,equal
0.583,0.603,50,equal
0.844,0.837,50,equal
0.934,0.959,50,equal
0.739,0.724,50,equal
0.243,0.239,50,equal
0.769,0.759,50,equal
0.637,0.671,50,equal
0.699,0.655,50,equal
0.737,0.734,50,equal
0.693,0.672,50,equal
0.021,0.038,50,equal
0.175,0.185,50,equal
0.599,0.615,50,equal
0.306,0.3,50,equal
0.81,0.798,50,equal
0.911,0.908,50,equal
0.24,0.235,50,equal
0.822,0.797,50,equal
0.371,0.353,50,equal
0.038,0.042,50,equal
0.877,0.89,50,equal
0.315,0.316,50,equal
0.039,0.051,50,equal
0.625,0.576,50,equal
0.944,0.943,50,equal
0.901,0.922,50,equal
0.865,0.864,50,equal
0.173,0.187,50,equal
0.633,0.664,50,equal
0.397,0.405,50,equal
0.383,0.405,50,equal
0.876,0.857,50,equal
0.746,0.731,50,equal
0.851,0.862,50,equal
0.907,0.911,50,equal
0.527,0.518,50,equal
0.093,0.113,50,equal
0.396,0.38,50,equal
0.233,0.221,50,equal
0.438,0.414,50,equal
0.285,0.297,50,equal
0.286,0.288,50,equal
0.32,0.314,50,equal
0.531,0.559,50,equal
0.231,0.249,50,equal
0.211,0.213,50,equal
0.338,0.35,50,equal
0.389,0.408,50,equal
0.696,0.696,50,equal
0.36,0.376,50,equal
0.192,0.194,50,equal
0.895,0.88,50,equal
0.748,0.747,50,equal
0.315,0.297,50,equal
0.785,0.814,50,equal
0.901,0.887,50,equal
0.762,0.796,50,equal
0.864,0.845,50,equal
0.235,0.236,50,equal
0.66,0.639,50,equal
0.477,0.453,50,equal
0.327,0.356,50,equal
0.991,0.991,50,equal
0.93,0.925,50,equal
0.211,0.223,50,equal
0.388,0.395,50,equal
0.174,0.204,50,equal
0.142,0.15,50,equal
0.332,0.315,50,equal
0.09,0.082,50,equal
0.448,0.459,50,equal
0.885,0.885,50,equal
0.074,0.074,50,equal
0.797,0.795,50,equal
0.841,0.845,50,equal
0.095,0.091,50,equal
0.451,0.507,50,equal
0.489,0.491,50,equal
0.579,0.617,50,equal
0.115,0.116,50,equal
0.24,0.227,50,equal
0.712,0.715,50,equal
0.946,0.956,50,equal
0.848,0.862,50,equal
0.751,0.738,50,equal
0.204,0.175,50,equal
0.795,0.791,50,equal
0.29,0.295,50,equal
0.767,0.737,50,equal
0.294,0.306,50,equal
0.854,0.856,50,equal
0.828,0.807,50,equal
0.856,0.851,50,equal
0.721,0.734,50,equal
0.038,0.052,50,equal
0.064,0.055,50,equal
0.829,0.841,50,equal
0.746,0.778,50,equal
0.815,0.797,50,equal
0.787,0.802,50,equal
0.865,0.869,50,equal
0.992,0.993,50,equal
0.51,0.519,50,equal
0.084,0.066,50,equal
0.948,0.935,50,equal
0.582,0.591,50,equal
0.286,0.329,50,equal
0.054,0.067,50,equal
0.848,0.845,50,equal
0.185,0.012,50,equal
0.916,0.915,50,equal
0.235,0.204,50,equal
0.796,0.807,50,equal
0.435,0.416,50,equal
0.648,0.634,50,equal
0.639,0.614,50,equal
0.717,0.7,50,equal
0.472,0.436,50,equal
0.914,0.914,50,equal
0.529,0.522,50,equal
0.754,0.73,50,equal
0.609,0.627,50,equal
0.036,0.013,50,equal
0.692,0.671,50,equal
0.588,0.585,50,equal
0.468,0.463,50,equal
0.843,0.855,50,equal
0.616,0.657,50,equal
0.237,0.236,50,equal
0.467,0.446,50,equal
0.694,0.693,50,equal
0.685,0.705,50,equal
0.599,0.613,50,equal
0.127,0.149,50,equal
0.921,0.906,50,equal
0.421,0.41,50,equal
0.384,0.366,50,equal
0.614,0.567,50,equal
0.043,0.062,50,equal
0.308,0.328,50,equal
0.639,0.631,50,equal
0.867,0.857,50,equal
0.397,0.395,50,equal
0.506,0.483,50,equal
0.97,0.983,50,equal
0.805,0.798,50,equal
0.886,0.868,50,equal
0.972,0.965,50,equal
0.843,0.814,50,equal
0.293,0.289,50,equal
0.898,0.897,50,equal
0.658,0.644,50,equal
0.215,0.184,50,equal
0.532,0.494,50,equal
0.296,0.263,50,equal
0.845,0.858,50,equal
0.087,0.083,50,equal
0.929,0.943,50,equal
0.664,0.693,50,equal
0.844,0.861,50,equal
0.256,0.269,50,equal
0.536,0.537,50,equal
0.336,0.336,50,equal
0.8,0.795,50,equal
0.532,0.55,50,equal
0.52,0.516,50,equal
0.499,0.512,50,equal
0.215,0.214,50,equal
0.177,0.232,50,equal
0.518,0.573,50,equal
0.693,0.703,50,equal
0.989,0.993,50,equal
0.632,0.65,50,equal
0.709,0.713,50,equal
0.467,0.484,50,equal
0.168,0.176,50,equal
0.954,0.961,50,equal
0.24,0.228,50,equal
0.566,0.543,50,equal
0.595,0.609,50,equal
0.427,0.408,50,equal
0.723,0.711,50,equal
0.247,0.218,50,equal
0.086,0.099,50,equal
0.409,0.413,50,equal
0.934,0.936,50,equal
0.557,0.562,50,equal
0.578,0.555,50,equal
0.845,0.847,50,equal
0.982,0.983,50,equal
0.648,0.687,50,equal
0.965,0.959,50,equal
0.567,0.59,50,equal
0.369,0.368,50,equal
0.22,0.225,50,equal
0.588,0.595,50,equal
0.084,0.093,50,equal
0.308,0.296,50,equal
0.522,0.551,50,equal
0.92,0.921,50,equal
0.511,0.519,50,equal
0.407,0.403,50,equal
0.41,0.412,50,equal
0.428,0.422,50,equal
0.995,0.995,50,equal
0.565,0.555,50,equal
0.681,0.689,50,equal
0.216,0.201,50,equal
0.709,0.702,50,equal
0.138,0.107,50,equal
0.751,0.762,50,equal
0.94,0.943,50,equal
0.402,0.42,50,equal
0.236,0.231,50,equal
0.98,0.977,50,equal
0.833,0.838,50,equal
0.868,0.868,50,equal
0.556,0.57,50,equal
0.473,0.468,50,equal
0.408,0.392,50,equal
0.992,0.992,50,equal
0.681,0.721,50,equal
0.491,0.489,50,equal
0.426,0.423,50,equal
0.137,0.141,50,equal
0.931,0.927,50,equal
0.18,0.185,50,equal
0.665,0.659,50,equal
0.658,0.644,50,equal
0.158,0.168,50,equal
0.883,0.9,50,equal
0.529,0.527,50,equal
0.183,0.211,50,equal
0.878,0.884,50,equal
0.102,0.094,50,equal
0.612,0.633,50,equal
0.539,0.517,50,equal
0.162,0.158,50,equal
0.345,0.368,50,equal
0.057,0.06,50,equal
0.282,0.269,50,equal
0.906,0.918,50,equal
0.667,0.653,50,equal
0.852,0.861,50,equal
0.159,0.136,50,equal
0.953,0.962,50,equal
0.439,0.455,50,equal
0.073,0.086,50,equal
0.999,0.995,50,equal
0.751,0.757,50,equal
0.653,0.608,50,equal
0.055,0.048,50,equal
0.134,0.127,50,equal
0.885,0.874,50,equal
0.607,0.611,50,equal
0.006,0.005,50,equal
0.387,0.369,50,equal
0.146,0.156,50,equal
0.519,0.484,50,equal
0.183,0.218,50,equal
0.752,0.775,50,equal
0.789,0.806,50,equal
0.227,0.218,50,equal
0.661,0.681,50,equal
0.838,0.839,50,equal
0.746,0.736,50,equal
0.446,0.42,50,equal
0.351,0.36,50,equal
0.134,0.125,50,equal
0.857,0.85,50,equal
0.343,0.334,50,equal
0.963,0.955,50,equal
0.537,0.602,50,equal
0.705,0.68,50,equal
0.019,0.028,50,equal
0.455,0.423,50,equal
0.969,0.964,50,equal
0.753,0.751,50,equal
0.888,0.878,50,equal
0.116,0.153,50,equal
0.287,0.278,50,equal
0.676,0.667,50,equal
0.081,0.085,50,equal
0.026,0.052,50,equal
0.946,0.943,50,equal
0.83,0.83,50,equal
0.099,0.105,50,equal
0.373,0.351,50,equal
0.13,0.122,50,equal
0.831,0.816,50,equal
0.98,0.985,50,equal
0.666,0.637,50,equal
0.596,0.603,50,equal
0.608,0.593,50,equal
0.323,0.327,50,equal
0.363,0.335,50,equal
0.047,0.025,50,equal
0.594,0.58,50,equal
0.285,0.262,50,equal
0.59,0.584,50,equal
0.213,0.224,50,equal
0.856,0.866,50,equal
0.841,0.833,50,equal
0.272,0.253,50,equal
0.427,0.441,50,equal
0.886,0.883,50,equal
0.819,0.828,50,equal
0.192,0.214,50,equal
0.221,0.19,50,equal
0.565,0.573,50,equal
0.668,0.661,50,equal
0.754,0.742,50,equal
0.904,0.903,50,equal
0.634,0.629,50,equal
0.107,0.109,50,equal
0.062,0.069,50,equal
0.201,0.184,50,equal
0.277,0.268,50,equal
0.754,0.721,50,equal
0.256,0.021,50,equal
0.54,0.551,50,equal
0.852,0.832,50,equal
0.808,0.78,50,equal
0.716,0.704,50,equal
0.002,0.008,50,equal
0.513,0.538,50,equal
0.359,0.364,50,equal
0.145,0.141,50,equal
0.653,0.634,50,equal
0.92,0.908,50,equal
0.449,0.471,50,equal
0.656,0.642,50,equal
0.999,0.999,50,equal
0.527,0.527,50,equal
0.923,0.915,50,equal
0.491,0.496,50,equal
0.415,0.408,50,equal
0.296,0.303,50,equal
0.579,0.596,50,equal
0.429,0.405,50,equal
0.357,0.324,50,equal
0.988,0.987,50,equal
0.082,0.104,50,equal
0.913,0.923,50,equal
0.356,0.361,50,equal
0.491,0.493,50,equal
0.013,0.012,50,equal
0.696,0.668,50,equal
0.983,0.979,50,equal
0.775,0.771,50,equal
0.932,0.932,50,equal
0.85,0.833,50,equal
0.46,0.47,50,equal
0.024,0.022,50,equal
0.308,0.296,50,equal
0.233,0.253,50,equal
0.569,0.551,50,equal
0.639,0.631,50,equal
0.171,0.199,50,equal
0.614,0.655,50,equal
0.465,0.442,50,equal
0.376,0.378,50,equal
0.838,0.824,50,equal
0.769,0.803,50,equal
0.876,0.882,50,equal
0.141,0.145,50,equal
0.504,0.485,50,equal
0.565,0.58,50,equal
0.463,0.454,50,equal
0.896,0.895,50,equal
0.709,0.697,50,equal
0.219,0.252,50,equal
0.23,0.236,50,equal
0.493,0.525,50,equal
0.999,0.994,50,equal
0.944,0.958,50,equal
0.936,0.941,50,equal
0.84,0.819,50,equal
0.346,0.364,50,equal
0.844,0.864,50,equal
0.918,0.919,50,equal
0.935,0.936,50,equal
0.019,0.009,50,equal
0.037,0.017,50,equal
0.18,0.181,50,equal
0.253,0.281,50,equal
0.567,0.539,50,equal
0.796,0.77,50,equal
0.336,0.36,50,equal
0.865,0.857,50,equal
0.45,0.463,50,equal
0.568,0.526,50,equal
0.458,0.473,50,equal
0.067,0.058,50,equal
0.797,0.819,50,equal
0.792,0.823,50,equal
0.896,0.905,50,equal
0.531,0.521,50,equal
0.454,0.442,50,equal
0.916,0.916,50,equal
0.924,0.952,50,equal
0.548,0.587,50,equal
0.752,0.727,50,equal
0.328,0.342,50,equal
0.334,0.378,50,equal
0.778,0.78,50,equal
0.993,0.995,50,equal
0.558,0.535,50,equal
0.162,0.167,50,equal
0.975,0.973,50,equal
0.201,0.191,50,equal
0.198,0.198,50,equal
0.497,0.521,50,equal
0.47,0.459,50,equal
0.287,0.27,50,equal
0.746,0.776,50,equal
0.377,0.371,50,equal
0.149,0.147,50,equal
0.466,0.494,50,equal
0.189,0.015,50,equal
0.265,0.297,50,equal
0.216,0.223,50,equal
0.801,0.82,50,equal
0.929,0.941,50,equal
0.343,0.344,50,equal
0.577,0.608,50,equal
0.355,0.309,50,equal
0.692,0.674,50,equal
0.722,0.707,50,equal
0.635,0.659,50,equal
0.947,0.956,50,equal
0.035,0.044,50,equal
0.489,0.481,50,equal
0.435,0.426,50,equal
0.534,0.541,50,equal
0.271,0.277,50,equal
0.118,0.121,50,equal
0.795,0.778,50,equal
0.646,0.653,50,equal
0.625,0.592,50,equal
0.342,0.319,50,equal
0.213,0.215,50,equal
0.587,0.609,50,equal
0.084,0.083,50,equal
0.89,0.884,50,equal
0.94,0.896,50,equal
0.631,0.628,50,equal
0.883,0.895,50,equal
0.207,0.232,50,equal
0.544,0.525,50,equal
0.847,0.834,50,equal
0.682,0.65,50,equal
0.408,0.393,50,equal
0.576,0.541,50,equal
0.89,0.885,50,equal
0.6,0.614,50,equal
0.558,0.569,50,equal
0.551,0.575,50,equal
0.66,0.675,50,equal
0.882,0.876,50,equal
0.453,0.471,50,equal
0.247,0.254,50,equal
0.791,0.791,50,equal
0.873,0.872,50,equal
0.923,0.921,50,equal
0.371,0.336,50,equal
0.996,0.997,50,equal
0.545,0.518,50,equal
0.822,0.806,50,equal
0.42,0.396,50,equal
0.309,0.311,50,equal
0.426,0.413,50,equal
0.514,0.478,50,equal
0.455,0.504,50,equal
0.831,0.844,50,equal
0.943,0.937,50,equal
0.05,0.052,50,equal
0.121,0.112,50,equal
0.444,0.478,50,equal
0.664,0.661,50,equal
0.74,0.728,50,equal
0.625,0.588,50,equal
0.378,0.436,50,equal
0.664,0.643,50,equal
0.127,0.128,50,equal
0.423,0.407,50,equal
0.652,0.661,50,equal
0.116,0.142,50,equal
0.645,0.618,50,equal
0.988,0.975,50,equal
0.892,0.879,50,equal
0.569,0.56,50,equal
0.094,0.088,50,equal
0.689,0.685,50,equal
0.077,0.106,50,equal
0.221,0.207,50,equal
0.497,0.534,50,equal
0.543,0.558,50,equal
0.804,0.802,50,equal
0.619,0.632,50,equal
0.852,0.846,50,equal
0.409,0.433,50,equal
0.67,0.653,50,equal
0.924,0.944,50,equal
0.54,0.542,50,equal
0.793,0.784,50,equal
0.508,0.467,50,equal
0.251,0.229,50,equal
0.706,0.712,50,equal
0.465,0.483,50,equal
0.274,0.307,50,equal
0.925,0.915,50,equal
0.572,0.588,50,equal
0.971,0.974,50,equal
0.689,0.676,50,equal
0.708,0.703,50,equal
0.891,0.874,50,equal
0.775,0.749,50,equal
0.162,0.203,50,equal
0.275,0.298,50,equal
0.347,0.327,50,equal
0.751,0.742,50,equal
0.193,0.195,50,equal
0.359,0.377,50,equal
0.109,0.099,50,equal
0.762,0.758,50,equal
0.789,0.787,50,equal
0.015,0.021,50,equal
0.977,0.969,50,equal
0.398,0.369,50,equal
0.282,0.281,50,equal
0.108,0.009,50,equal
0.535,0.553,50,equal
0.757,0.747,50,equal
0.816,0.769,50,equal
0.369,0.385,50,equal
0.367,0.342,50,equal
0.399,0.431,50,equal
0.592,0.637,50,equal
0.871,0.869,50,equal
0.089,0.077,50,equal
0.499,0.48,50,equal
0.913,0.902,50,equal
0.805,0.796,50,equal
0.517,0.546,50,equal
0.908,0.891,50,equal
0.659,0.622,50,equal
0.005,0.004,50,equal
0.328,0.275,50,equal
0.893,0.887,50,equal
0.859,0.84,50,equal
0.873,0.892,50,equal
0.514,0.522,50,equal
0.684,0.666,50,equal
0.237,0.248,50,equal
0.906,0.891,50,equal
0.918,0.933,50,equal
0.032,0.04,50,equal
0.66,0.675,50,equal
0.199,0.227,50,equal
0.326,0.306,50,equal
0.944,0.938,50,equal
0.274,0.273,50,equal
0.4,0.393,50,equal
0.628,0.619,50,equal
0.678,0.683,50,equal
0.623,0.636,50,equal
0.317,0.336,50,equal
0.162,0.145,50,equal
0.102,0.097,50,equal
0.684,0.694,50,equal
0.918,0.922,50,equal
0.245,0.261,50,equal
0.416,0.417,50,equal
0.1,0.099,50,equal
0.971,0.965,50,equal
0.811,0.779,50,equal
0.945,0.955,50,equal
0.107,0.103,50,equal
0.383,0.39,50,equal
0.059,0.073,50,equal
0.848,0.869,50,equal
0.296,0.32,50,equal
0.563,0.549,50,equal
0.972,0.978,50,equal
0.281,0.295,50,equal
0.801,0.813,50,equal
0.702,0.666,50,equal
0.698,0.694,50,equal
0.785,0.796,50,equal
0.544,0.564,50,equal
0.975,0.97,50,equal
0.711,0.697,50,equal
0.167,0.191,50,equal
0.518,0.505,50,equal
0.875,0.873,50,equal
0.032,0.06,50,equal
0.997,0.996,50,equal
0.956,0.956,50,equal
0.763,0.774,50,equal
0.786,0.797,50,equal
0.765,0.788,50,equal
0.547,0.528,50,equal
0.245,0.243,50,equal
0.129,0.151,50,equal
0.665,0.621,50,equal
0.991,0.974,50,equal
0.567,0.567,50,equal
0.319,0.31,50,equal
0.781,0.773,50,equal
0.834,0.848,50,equal
0.88,0.889,50,equal
0.597,0.6,50,equal
0.594,0.574,50,equal
0.638,0.638,50,equal
0.964,0.963,50,equal
0.379,0.393,50,equal
0.622,0.613,50,equal
0.18,0.205,50,equal
0.892,0.879,50,equal
0.791,0.773,50,equal
0.59,0.59,50,equal
0.229,0.207,50,equal
0.767,0.786,50,equal
0.411,0.364,50,equal
0.548,0.549,50,equal
0.06,0.053,50,equal
0.187,0.22,50,equal
0.496,0.493,50,equal
0.692,0.692,50,equal
0.587,0.585,50,equal
0.582,0.562,50,equal
0.17,0.19,50,equal
0.315,0.294,50,equal
0.988,0.992,50,equal
0.807,0.839,50,equal
0.232,0.237,50,equal
0.76,0.746,50,equal
0.053,0.05,50,equal
0.648,0.662,50,equal
0.816,0.79,50,equal
0.35,0.363,50,equal
0.752,0.775,50,equal
0.499,0.492,50,equal
0.649,0.602,50,equal
0.68,0.673,50,equal
0.018,0.015,50,equal
0.014,0.012,50,equal
0.462,0.448,50,equal
0.277,0.276,50,equal
0.556,0.557,50,equal
0.469,0.473,50,equal
0.906,0.893,50,equal
0.051,0.057,50,equal
0.129,0.144,50,equal
0.694,0.695,50,equal
0.376,0.343,50,equal
0.533,0.512,50,equal
0.354,0.361,50,equal
0.297,0.291,50,equal
0.359,0.359,50,equal
0.815,0.844,50,equal
0.02,0.017,50,equal
0.671,0.684,50,equal
0.338,0.323,50,equal
0.677,0.697,50,equal
0.349,0.363,50,equal
0.758,0.746,50,equal
0.691,0.698,50,equal
0.56,0.575,50,equal
0.579,0.561,50,equal
0.968,0.985,50,equal
0.789,0.786,50,equal
0.648,0.668,50,equal
0.349,0.355,50,equal
0.178,0.188,50,equal
0.335,0.336,50,equal
0.011,0.001,50,equal
0.056,0.081,50,equal
0.722,0.751,50,equal
0.637,0.664,50,equal
0.825,0.827,50,equal
0.846,0.829,50,equal
0.175,0.157,50,equal
0.266,0.256,50,equal
0.03,0.04,50,equal
0.64,0.631,50,equal
0.225,0.264,50,equal
0.275,0.256,50,equal
0.817,0.807,50,equal
0.658,0.682,50,equal
0.332,0.338,50,equal
0.031,0.037,50,equal
0.222,0.037,50,equal
0.83,0.814,50,equal
0.883,0.884,50,equal
0.653,0.677,50,equal
0.782,0.777,50,equal
0.017,0.022,50,equal
0.492,0.505,50,equal
0.76,0.74,50,equal
0.599,0.599,50,equal
0.227,0.214,50,equal
0.247,0.229,50,equal
0.355,0.367,50,equal
0.216,0.191,50,equal
0.557,0.575,50,equal
0.26,0.254,50,equal
0.74,0.747,50,equal
0.592,0.589,50,equal
0.807,0.836,50,equal
0.9,0.891,50,equal
0.42,0.429,50,equal
0.668,0.645,50,equal
0.899,0.909,50,equal
0.77,0.769,50,equal
0.651,0.643,50,equal
0.538,0.547,50,equal
0.951,0.945,50,equal
0.656,0.669,50,equal
0.047,0.03,50,equal
0.22,0.23,50,equal
0.284,0.26,50,equal
0.606,0.621,50,equal
0.581,0.544,50,equal
0.337,0.338,50,equal
0.692,0.695,50,equal
0.866,0.886,50,equal
0.53,0.512,50,equal
0.23,0.234,50,equal
0.055,0.064,50,equal
0.673,0.672,50,equal
0.356,0.338,50,equal
0.452,0.428,50,equal
0.11,0.112,50,equal
0.315,0.331,50,equal
0.298,0.298,50,equal
0.361,0.384,50,equal
0.484,0.456,50,equal
0.854,0.882,50,equal
0.277,0.288,50,equal
0.869,0.873,50,equal
0.952,0.942,50,equal
0.49,0.512,50,equal
0.369,0.334,50,equal
0.524,0.466,50,equal
0.503,0.53,50,equal
0.394,0.388,50,equal
0.121,0.104,50,equal
0.311,0.318,50,equal
0.752,0.751,50,equal
0.812,0.819,50,equal
0.56,0.589,50,equal
0.831,0.839,50,equal
0.508,0.523,50,equal
0.411,0.415,50,equal
0.235,0.235,50,equal
0.175,0.159,50,equal
0.664,0.667,50,equal
0.895,0.907,50,equal
0.945,0.941,50,equal
0.884,0.918,50,equal
0.647,0.638,50,equal
0.734,0.727,50,equal
0.764,0.745,50,equal
0.342,0.323,50,equal
0.397,0.393,50,equal
0.903,0.888,50,equal
0.202,0.211,50,equal
0.761,0.773,50,equal
0.356,0.352,50,equal
0.785,0.761,50,equal
0.283,0.281,50,equal
0.246,0.241,50,equal
0.448,0.465,50,equal
0.351,0.328,50,equal
0.793,0.811,50,equal
0.216,0.209,50,equal
0.314,0.026,50,equal
0.735,0.713,50,equal
0.159,0.153,50,equal
0.788,0.801,50,equal
0.718,0.754,50,equal
0.688,0.699,50,equal
0.319,0.295,50,equal
0.757,0.8,50,equal
0.921,0.9,50,equal
0.563,0.57,50,equal
0.939,0.916,50,equal
0.531,0.561,50,equal
0.55,0.551,50,equal
0.452,0.467,50,equal
0.109,0.114,50,equal
0.889,0.852,50,equal
0.913,0.895,50,equal
0.082,0.083,50,equal
0.858,0.865,50,equal
0.342,0.382,50,equal
0.19,0.158,50,equal
0.518,0.487,50,equal
0.242,0.268,50,equal
0.929,0.94,50,equal
0.479,0.468,50,equal
0.423,0.417,50,equal
0.676,0.685,50,equal
0.737,0.718,50,equal
0.831,0.857,50,equal
0.853,0.87,50,equal
0.91,0.892,50,equal
0.408,0.416,50,equal
0.213,0.217,50,equal
0.353,0.343,50,equal
0.923,0.938,50,equal
0.541,0.55,50,equal
0.028,0.039,50,equal
0.237,0.231,50,equal
0.64,0.599,50,equal
0.26,0.271,50,equal
0.531,0.545,50,equal
0.942,0.964,50,equal
0.582,0.6,50,equal
0.963,0.959,50,equal
0.323,0.304,50,equal
0.58,0.601,50,equal
0.273,0.255,50,equal
